#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,0,50,0.000003
2,0,0,50,0,50,0.000003
3,0,0,50,100,150,0.000009
4,0,0,50,100,250,0.000016
5,0,0,50,100,350,0.000022
6,0,0,50,100,450,0.000028
7,0,0,50,200,650,0.000041
8,0,0,50,200,850,0.000053
9,0,0,50,200,1050,0.000066
10,0,0,50,200,1250,0.000078
11,0,0,50,300,1550,0.000097
12,0,0,50,300,1850,0.000116
13,0,0,50,300,2150,0.000134
14,0,0,50,300,2450,0.000153
15,0,0,50,300,2750,0.000172
16,0,0,50,400,3150,0.000197
17,0,0,50,400,3550,0.000222
18,0,0,50,400,3950,0.000247
19,0,0,50,400,4350,0.000272
20,0,0,50,400,4750,0.000297
21,0,0,50,400,5150,0.000322
22,0,0,50,500,5650,0.000353
23,0,0,50,500,6150,0.000384
24,0,0,50,500,6650,0.000416
25,0,0,50,500,7150,0.000447
26,0,0,50,500,7650,0.000478
27,0,0,50,500,8150,0.000509
28,0,0,50,600,8750,0.000547
29,0,0,50,600,9350,0.000584
30,0,0,50,600,9950,0.000622
31,0,0,50,600,10550,0.000659
32,0,0,50,600,11150,0.000697
33,0,0,50,600,11750,0.000734
34,0,0,50,700,12450,0.000778
35,0,0,50,700,13150,0.000822
36,0,0,50,700,13850,0.000866
37,0,0,50,700,14550,0.000909
38,0,0,50,700,15250,0.000953
39,0,0,50,700,15950,0.000997
40,0,0,50,700,16650,0.001041
41,0,0,50,800,17450,0.001091
42,0,0,50,800,18250,0.001141
43,0,0,50,800,19050,0.001191
44,0,0,50,800,19850,0.001241
45,0,0,50,800,20650,0.001291
46,0,0,50,800,21450,0.001341
47,0,0,50,800,22250,0.001391
48,0,0,50,900,23150,0.001447
49,0,0,50,900,24050,0.001503
50,0,0,50,900,24950,0.001559
51,0,0,50,900,25850,0.001616
52,0,0,50,900,26750,0.001672
53,0,0,50,900,27650,0.001728
54,0,0,50,900,28550,0.001784
55,0,0,50,1000,29550,0.001847
56,0,0,50,1000,30550,0.001909
57,0,0,50,1000,31550,0.001972
58,0,0,50,1000,32550,0.002034
59,0,0,50,1000,33550,0.002097
60,0,0,50,1000,34550,0.002159
61,0,0,50,1000,35550,0.002222
62,0,0,50,1100,36650,0.002291
63,0,0,50,1100,37750,0.002359
64,0,0,50,1100,38850,0.002428
65,0,0,50,1100,39950,0.002497
66,0,0,50,1100,41050,0.002566
67,0,0,50,1100,42150,0.002634
68,0,0,50,1100,43250,0.002703
69,0,0,50,1100,44350,0.002772
70,0,0,50,1200,45550,0.002847
71,0,0,50,1200,46750,0.002922
72,0,0,50,1200,47950,0.002997
73,0,0,50,1200,49150,0.003072
74,0,0,50,1200,50350,0.003147
75,0,0,50,1200,51550,0.003222
76,0,0,50,1200,52750,0.003297
77,0,0,50,1200,53950,0.003372
78,0,0,50,1290,55240,0.003452
79,0,0,50,1274,56514,0.003532
80,0,0,50,1274,57788,0.003612
81,0,0,50,1274,59062,0.003691
82,0,0,50,1274,60336,0.003771
83,0,0,50,1274,61610,0.003851
84,0,0,50,1274,62884,0.003930
85,0,0,50,1274,64158,0.004010
86,0,0,50,1372,65530,0.004096
87,0,0,50,1372,66902,0.004181
88,0,0,50,1372,68274,0.004267
89,0,0,50,1372,69646,0.004353
90,0,0,50,1372,71018,0.004439
91,0,0,50,1372,72390,0.004524
92,0,0,50,1372,73762,0.004610
93,0,0,50,1372,75134,0.004696
94,0,0,50,1470,76604,0.004788
95,0,0,50,1470,78074,0.004880
96,0,0,50,1470,79544,0.004972
97,0,0,50,1470,81014,0.005063
98,0,0,50,1470,82484,0.005155
99,0,0,50,1470,83954,0.005247
100,0,0,50,1470,85424,0.005339
101,0,0,50,1470,86894,0.005431
102,0,0,50,1568,88462,0.005529
103,0,0,50,1568,90030,0.005627
104,0,0,50,1568,91598,0.005725
105,0,0,50,1568,93166,0.005823
106,0,0,50,1568,94734,0.005921
107,0,0,50,1568,96302,0.006019
108,0,0,50,1568,97870,0.006117
109,0,0,50,1568,99438,0.006215
110,0,0,50,1568,101006,0.006313
111,0,0,50,1666,102672,0.006417
112,0,0,50,1666,104338,0.006521
113,0,0,50,1666,106004,0.006625
114,0,0,50,1666,107670,0.006729
115,0,0,50,1666,109336,0.006834
116,0,0,50,1666,111002,0.006938
117,0,0,50,1666,112668,0.007042
118,0,0,50,1666,114334,0.007146
119,0,0,50,1764,116098,0.007256
120,0,0,50,1764,117862,0.007366
121,0,0,50,1764,119626,0.007477
122,0,0,50,1764,121390,0.007587
123,0,0,50,1764,123154,0.007697
124,0,0,50,1764,124918,0.007807
125,0,0,50,1764,126682,0.007918
126,0,0,50,1764,128446,0.008028
127,0,0,50,1764,130210,0.008138
128,0,0,50,1862,132072,0.008254
129,0,0,50,1862,133934,0.008371
130,0,0,50,1862,135796,0.008487
131,0,0,50,1862,137658,0.008604
132,0,0,50,1862,139520,0.008720
133,0,0,50,1862,141382,0.008836
134,0,0,50,1862,143244,0.008953
135,0,0,50,1862,145106,0.009069
136,0,0,50,1862,146968,0.009185
137,0,0,50,1960,148928,0.009308
138,0,0,50,1960,150888,0.009430
139,0,0,50,1960,152848,0.009553
140,0,0,50,1960,154808,0.009676
141,0,0,50,1960,156768,0.009798
142,0,0,50,1960,158728,0.009921
143,0,0,50,1960,160688,0.010043
144,0,0,50,1960,162648,0.010165
145,0,0,50,1960,164608,0.010288
146,0,0,50,2054,166662,0.010416
147,0,0,50,2016,168678,0.010542
148,0,0,50,2016,170694,0.010668
149,0,0,50,2016,172710,0.010794
