#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,500,550,0.000034
2,0,0,50,500,1050,0.000066
3,0,0,50,500,1550,0.000097
4,0,0,50,500,2050,0.000128
5,0,0,50,500,2550,0.000159
6,0,0,50,500,3050,0.000191
7,0,0,50,500,3550,0.000222
8,0,0,50,500,4050,0.000253
9,0,0,50,500,4550,0.000284
10,0,0,50,500,5050,0.000316
11,0,0,50,500,5550,0.000347
12,0,0,50,500,6050,0.000378
13,0,0,50,500,6550,0.000409
14,0,0,50,500,7050,0.000441
15,0,0,50,500,7550,0.000472
16,0,0,50,500,8050,0.000503
17,0,0,50,500,8550,0.000534
18,0,0,50,500,9050,0.000566
19,0,0,50,500,9550,0.000597
20,0,0,50,500,10050,0.000628
21,0,0,50,500,10550,0.000659
22,0,0,50,500,11050,0.000691
23,0,0,50,500,11550,0.000722
24,0,0,50,500,12050,0.000753
25,0,0,50,500,12550,0.000784
26,0,0,50,500,13050,0.000816
27,0,0,50,500,13550,0.000847
28,0,0,50,500,14050,0.000878
29,0,0,50,500,14550,0.000909
30,0,0,50,500,15050,0.000941
31,0,0,50,500,15550,0.000972
32,0,0,50,500,16050,0.001003
33,0,0,50,500,16550,0.001034
34,0,0,50,500,17050,0.001066
35,0,0,50,500,17550,0.001097
36,0,0,50,500,18050,0.001128
37,0,0,50,500,18550,0.001159
38,0,0,50,500,19050,0.001191
39,0,0,50,500,19550,0.001222
40,0,0,50,500,20050,0.001253
41,0,0,50,500,20550,0.001284
42,0,0,50,500,21050,0.001316
43,0,0,50,500,21550,0.001347
44,0,0,50,500,22050,0.001378
45,0,0,50,500,22550,0.001409
46,0,0,50,500,23050,0.001441
47,0,0,50,500,23550,0.001472
48,0,0,50,500,24050,0.001503
49,0,0,50,500,24550,0.001534
50,0,0,50,500,25050,0.001566
51,0,0,50,500,25550,0.001597
52,0,0,50,500,26050,0.001628
53,0,0,50,500,26550,0.001659
54,0,0,50,500,27050,0.001691
55,0,0,50,500,27550,0.001722
56,0,0,50,500,28050,0.001753
57,0,0,50,500,28550,0.001784
58,0,0,50,500,29050,0.001816
59,0,0,50,500,29550,0.001847
60,0,0,50,500,30050,0.001878
61,0,0,50,500,30550,0.001909
62,0,0,50,500,31050,0.001941
63,0,0,50,500,31550,0.001972
64,0,0,50,500,32050,0.002003
65,0,0,50,500,32550,0.002034
66,0,0,50,500,33050,0.002066
67,0,0,50,500,33550,0.002097
68,0,0,50,500,34050,0.002128
69,0,0,50,500,34550,0.002159
70,0,0,50,500,35050,0.002191
71,0,0,50,500,35550,0.002222
72,0,0,50,500,36050,0.002253
73,0,0,50,500,36550,0.002284
74,0,0,50,500,37050,0.002316
75,0,0,50,500,37550,0.002347
76,0,0,50,500,38050,0.002378
77,0,0,50,500,38550,0.002409
78,0,0,50,500,39050,0.002441
79,0,0,50,500,39550,0.002472
80,0,0,50,490,40040,0.002502
81,0,0,50,490,40530,0.002533
82,0,0,50,490,41020,0.002564
83,0,0,50,490,41510,0.002594
84,0,0,50,490,42000,0.002625
85,0,0,50,490,42490,0.002656
86,0,0,50,490,42980,0.002686
87,0,0,50,490,43470,0.002717
88,0,0,50,490,43960,0.002747
89,0,0,50,490,44450,0.002778
90,0,0,50,490,44940,0.002809
91,0,0,50,490,45430,0.002839
92,0,0,50,490,45920,0.002870
93,0,0,50,490,46410,0.002901
94,0,0,50,490,46900,0.002931
95,0,0,50,490,47390,0.002962
96,0,0,50,490,47880,0.002992
97,0,0,50,490,48370,0.003023
98,0,0,50,490,48860,0.003054
99,0,0,50,490,49350,0.003084
100,0,0,50,490,49840,0.003115
101,0,0,50,490,50330,0.003146
102,0,0,50,490,50820,0.003176
103,0,0,50,490,51310,0.003207
104,0,0,50,490,51800,0.003237
105,0,0,50,490,52290,0.003268
106,0,0,50,490,52780,0.003299
107,0,0,50,490,53270,0.003329
108,0,0,50,490,53760,0.003360
109,0,0,50,490,54250,0.003391
110,0,0,50,490,54740,0.003421
111,0,0,50,490,55230,0.003452
112,0,0,50,490,55720,0.003482
113,0,0,50,490,56210,0.003513
114,0,0,50,490,56700,0.003544
115,0,0,50,490,57190,0.003574
116,0,0,50,490,57680,0.003605
117,0,0,50,490,58170,0.003636
118,0,0,50,490,58660,0.003666
119,0,0,50,490,59150,0.003697
120,0,0,50,490,59640,0.003727
121,0,0,50,490,60130,0.003758
122,0,0,50,490,60620,0.003789
123,0,0,50,490,61110,0.003819
124,0,0,50,490,61600,0.003850
125,0,0,50,490,62090,0.003881
126,0,0,50,490,62580,0.003911
127,0,0,50,490,63070,0.003942
128,0,0,50,490,63560,0.003973
129,0,0,50,490,64050,0.004003
130,0,0,50,490,64540,0.004034
131,0,0,50,490,65030,0.004064
132,0,0,50,490,65520,0.004095
133,0,0,50,490,66010,0.004126
134,0,0,50,490,66500,0.004156
135,0,0,50,490,66990,0.004187
136,0,0,50,490,67480,0.004217
137,0,0,50,490,67970,0.004248
138,0,0,50,490,68460,0.004279
139,0,0,50,490,68950,0.004309
140,0,0,50,490,69440,0.004340
141,0,0,50,490,69930,0.004371
142,0,0,50,490,70420,0.004401
143,0,0,50,490,70910,0.004432
144,0,0,50,490,71400,0.004463
145,0,0,50,490,71890,0.004493
146,0,0,50,490,72380,0.004524
147,0,0,50,490,72870,0.004554
148,0,0,50,490,73360,0.004585
149,0,0,50,490,73850,0.004616
