#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,183,186,0.000012
2,3,3,9,279,465,0.000029
3,3,3,12,363,828,0.000052
4,3,3,15,435,1263,0.000079
5,3,3,18,513,1776,0.000111
6,3,3,21,579,2355,0.000147
7,3,3,24,633,2988,0.000187
8,3,3,27,675,3663,0.000229
9,3,3,30,705,4368,0.000273
10,3,3,33,783,5151,0.000322
11,3,3,36,795,5946,0.000372
12,3,3,39,867,6813,0.000426
13,3,3,42,939,7752,0.000485
14,3,3,45,927,8679,0.000542
15,3,3,48,993,9672,0.000605
16,3,3,51,1059,10731,0.000671
17,3,3,54,1125,11856,0.000741
18,3,3,57,1083,12939,0.000809
19,3,3,60,1143,14082,0.000880
20,3,3,63,1203,15285,0.000955
21,3,3,66,1263,16548,0.001034
22,3,3,69,1323,17871,0.001117
23,3,3,72,1383,19254,0.001203
24,3,3,75,1299,20553,0.001285
25,3,3,78,1353,21906,0.001369
26,3,3,81,1407,23313,0.001457
27,3,3,84,1461,24774,0.001548
28,3,3,87,1515,26289,0.001643
29,3,3,90,1569,27858,0.001741
30,3,3,93,1623,29481,0.001843
31,3,3,96,1677,31158,0.001947
32,3,3,99,1539,32697,0.002044
33,3,3,102,1587,34284,0.002143
34,3,3,105,1635,35919,0.002245
35,3,3,108,1683,37602,0.002350
36,3,3,111,1731,39333,0.002458
37,3,3,114,1779,41112,0.002570
38,3,3,117,1827,42939,0.002684
39,3,3,120,1875,44814,0.002801
40,3,3,123,1923,46737,0.002921
41,3,3,126,1971,48708,0.003044
42,3,3,129,2019,50727,0.003170
43,3,3,132,2067,52794,0.003300
44,3,3,135,1851,54645,0.003415
45,3,3,138,1893,56538,0.003534
46,3,3,141,1935,58473,0.003655
47,3,3,144,1977,60450,0.003778
48,3,3,147,2019,62469,0.003904
49,3,3,150,2061,64530,0.004033
50,3,3,153,2103,66633,0.004165
51,3,3,156,2145,68778,0.004299
52,3,3,159,2187,70965,0.004435
53,3,3,162,2229,73194,0.004575
54,3,3,165,2271,75465,0.004717
55,3,3,168,2313,77778,0.004861
56,3,3,171,2355,80133,0.005008
57,3,3,174,2397,82530,0.005158
58,3,3,177,2439,84969,0.005311
59,3,3,180,2481,87450,0.005466
60,3,3,183,2523,89973,0.005623
61,3,3,186,2565,92538,0.005784
62,3,3,189,2607,95145,0.005947
63,3,3,192,2649,97794,0.006112
64,3,3,195,2307,100101,0.006256
65,3,3,198,2343,102444,0.006403
66,3,3,201,2379,104823,0.006551
67,3,3,204,2415,107238,0.006702
68,3,3,207,2451,109689,0.006856
69,3,3,210,2487,112176,0.007011
70,3,3,213,2523,114699,0.007169
71,3,3,216,2559,117258,0.007329
72,3,3,219,2595,119853,0.007491
73,3,3,222,2631,122484,0.007655
74,3,3,225,2667,125151,0.007822
75,3,3,228,2703,127854,0.007991
76,3,3,231,2739,130593,0.008162
77,3,3,234,2775,133368,0.008335
78,3,3,237,2811,136179,0.008511
79,3,3,240,2847,139026,0.008689
80,3,3,243,2883,141909,0.008869
81,3,3,246,2919,144828,0.009052
82,3,3,249,2955,147783,0.009236
83,3,3,252,2991,150774,0.009423
84,3,3,255,3020,153794,0.009612
85,3,3,258,3051,156845,0.009803
86,3,3,261,3087,159932,0.009996
87,3,3,264,3123,163055,0.010191
88,3,3,267,3159,166214,0.010388
89,3,3,270,3195,169409,0.010588
90,3,3,273,3231,172640,0.010790
91,3,3,276,3267,175907,0.010994
92,3,3,279,3303,179210,0.011201
93,3,3,282,3339,182549,0.011409
94,3,3,285,3375,185924,0.011620
95,3,3,288,3411,189335,0.011833
96,3,3,291,3447,192782,0.012049
97,3,3,294,3483,196265,0.012267
98,3,3,297,3519,199784,0.012486
99,3,3,300,3555,203339,0.012709
100,3,3,303,2993,206332,0.012896
101,3,3,306,3023,209355,0.013085
102,3,3,309,3053,212408,0.013276
103,3,3,312,3083,215491,0.013468
104,3,3,315,3113,218604,0.013663
105,3,3,318,3143,221747,0.013859
106,3,3,321,3173,224920,0.014058
107,3,3,324,3203,228123,0.014258
108,3,3,327,3233,231356,0.014460
109,3,3,330,3262,234618,0.014664
110,3,3,333,3283,237901,0.014869
111,3,3,336,3313,241214,0.015076
112,3,3,339,3343,244557,0.015285
113,3,3,342,3373,247930,0.015496
114,3,3,345,3403,251333,0.015708
115,3,3,348,3433,254766,0.015923
116,3,3,351,3463,258229,0.016139
117,3,3,354,3493,261722,0.016358
118,3,3,357,3523,265245,0.016578
119,3,3,360,3545,268790,0.016799
120,3,3,363,3563,272353,0.017022
121,3,3,366,3593,275946,0.017247
122,3,3,369,3623,279569,0.017473
123,3,3,372,3653,283222,0.017701
124,3,3,375,3683,286905,0.017932
125,3,3,378,3713,290618,0.018164
126,3,3,381,3743,294361,0.018398
127,3,3,384,3773,298134,0.018633
128,3,3,387,3803,301937,0.018871
129,3,3,390,3833,305770,0.019111
130,3,3,393,3861,309631,0.019352
131,3,3,396,3883,313514,0.019595
132,3,3,399,3913,317427,0.019839
133,3,3,402,3943,321370,0.020086
134,3,3,405,3965,325335,0.020333
135,3,3,408,3993,329328,0.020583
136,3,3,411,4023,333351,0.020834
137,3,3,414,4053,337404,0.021088
138,3,3,417,4083,341487,0.021343
139,3,3,420,4105,345592,0.021600
140,3,3,423,4125,349717,0.021857
141,3,3,426,4153,353870,0.022117
142,3,3,429,4175,358045,0.022378
143,3,3,432,4203,362248,0.022641
144,3,3,435,4233,366481,0.022905
145,3,3,438,4263,370744,0.023172
146,3,3,441,4293,375037,0.023440
147,3,3,444,4323,379360,0.023710
148,3,3,447,4353,383713,0.023982
149,3,3,450,4383,388096,0.024256
