#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,33,36,0.000002
2,3,3,9,63,99,0.000006
3,3,3,12,93,192,0.000012
4,3,3,15,123,315,0.000020
5,3,3,18,153,468,0.000029
6,3,3,21,183,651,0.000041
7,3,3,24,213,864,0.000054
8,3,3,27,243,1107,0.000069
9,3,3,30,273,1380,0.000086
10,3,3,33,303,1683,0.000105
11,3,3,36,333,2016,0.000126
12,3,3,39,363,2379,0.000149
13,3,3,42,393,2772,0.000173
14,3,3,45,423,3195,0.000200
15,3,3,48,453,3648,0.000228
16,3,3,51,483,4131,0.000258
17,3,3,54,513,4644,0.000290
18,3,3,57,543,5187,0.000324
19,3,3,60,573,5760,0.000360
20,3,3,63,603,6363,0.000398
21,3,3,66,633,6996,0.000437
22,3,3,69,663,7659,0.000479
23,3,3,72,693,8352,0.000522
24,3,3,75,723,9075,0.000567
25,3,3,78,753,9828,0.000614
26,3,3,81,783,10611,0.000663
27,3,3,84,813,11424,0.000714
28,3,3,87,843,12267,0.000767
29,3,3,90,873,13140,0.000821
30,3,3,93,903,14043,0.000878
31,3,3,96,933,14976,0.000936
32,3,3,99,963,15939,0.000996
33,3,3,102,993,16932,0.001058
34,3,3,105,1023,17955,0.001122
35,3,3,108,1053,19008,0.001188
36,3,3,111,1083,20091,0.001256
37,3,3,114,1113,21204,0.001325
38,3,3,117,1143,22347,0.001397
39,3,3,120,1173,23520,0.001470
40,3,3,123,1203,24723,0.001545
41,3,3,126,1233,25956,0.001622
42,3,3,129,1263,27219,0.001701
43,3,3,132,1293,28512,0.001782
44,3,3,135,1323,29835,0.001865
45,3,3,138,1353,31188,0.001949
46,3,3,141,1383,32571,0.002036
47,3,3,144,1413,33984,0.002124
48,3,3,147,1443,35427,0.002214
49,3,3,150,1473,36900,0.002306
50,3,3,153,1503,38403,0.002400
51,3,3,156,1533,39936,0.002496
52,3,3,159,1563,41499,0.002594
53,3,3,162,1593,43092,0.002693
54,3,3,165,1623,44715,0.002795
55,3,3,168,1653,46368,0.002898
56,3,3,171,1683,48051,0.003003
57,3,3,174,1713,49764,0.003110
58,3,3,177,1743,51507,0.003219
59,3,3,180,1773,53280,0.003330
60,3,3,183,1803,55083,0.003443
61,3,3,186,1833,56916,0.003557
62,3,3,189,1863,58779,0.003674
63,3,3,192,1893,60672,0.003792
64,3,3,195,1923,62595,0.003912
65,3,3,198,1953,64548,0.004034
66,3,3,201,1983,66531,0.004158
67,3,3,204,2013,68544,0.004284
68,3,3,207,2043,70587,0.004412
69,3,3,210,2073,72660,0.004541
70,3,3,213,2103,74763,0.004673
71,3,3,216,2133,76896,0.004806
72,3,3,219,2163,79059,0.004941
73,3,3,222,2193,81252,0.005078
74,3,3,225,2223,83475,0.005217
75,3,3,228,2253,85728,0.005358
76,3,3,231,2283,88011,0.005501
77,3,3,234,2313,90324,0.005645
78,3,3,237,2343,92667,0.005792
79,3,3,240,2373,95040,0.005940
80,3,3,243,2403,97443,0.006090
81,3,3,246,2433,99876,0.006242
82,3,3,249,2463,102339,0.006396
83,3,3,252,2493,104832,0.006552
84,3,3,255,2523,107355,0.006710
85,3,3,258,2553,109908,0.006869
86,3,3,261,2583,112491,0.007031
87,3,3,264,2613,115104,0.007194
88,3,3,267,2643,117747,0.007359
89,3,3,270,2673,120420,0.007526
90,3,3,273,2696,123116,0.007695
91,3,3,276,2723,125839,0.007865
92,3,3,279,2753,128592,0.008037
93,3,3,282,2783,131375,0.008211
94,3,3,285,2813,134188,0.008387
95,3,3,288,2843,137031,0.008564
96,3,3,291,2873,139904,0.008744
97,3,3,294,2903,142807,0.008925
98,3,3,297,2933,145740,0.009109
99,3,3,300,2963,148703,0.009294
100,3,3,303,2993,151696,0.009481
101,3,3,306,3023,154719,0.009670
102,3,3,309,3053,157772,0.009861
103,3,3,312,3083,160855,0.010053
104,3,3,315,3113,163968,0.010248
105,3,3,318,3143,167111,0.010444
106,3,3,321,3173,170284,0.010643
107,3,3,324,3203,173487,0.010843
108,3,3,327,3233,176720,0.011045
109,3,3,330,3263,179983,0.011249
110,3,3,333,3293,183276,0.011455
111,3,3,336,3323,186599,0.011662
112,3,3,339,3353,189952,0.011872
113,3,3,342,3383,193335,0.012083
114,3,3,345,3413,196748,0.012297
115,3,3,348,3443,200191,0.012512
116,3,3,351,3473,203664,0.012729
117,3,3,354,3503,207167,0.012948
118,3,3,357,3533,210700,0.013169
119,3,3,360,3557,214257,0.013391
120,3,2,362,3582,217839,0.013615
121,3,3,365,3603,221442,0.013840
122,3,3,368,3633,225075,0.014067
123,3,3,371,3663,228738,0.014296
124,3,3,374,3693,232431,0.014527
125,3,3,377,3723,236154,0.014760
126,3,2,379,3752,239906,0.014994
127,3,3,382,3773,243679,0.015230
128,3,3,385,3803,247482,0.015468
129,3,3,388,3833,251315,0.015707
130,3,3,391,3863,255178,0.015949
131,3,3,394,3893,259071,0.016192
132,3,3,397,3923,262994,0.016437
133,3,3,400,3953,266947,0.016684
134,3,2,402,3982,270929,0.016933
135,3,3,405,4003,274932,0.017183
136,3,3,408,4033,278965,0.017435
137,3,3,411,4063,283028,0.017689
138,3,3,414,4093,287121,0.017945
139,3,3,417,4120,291241,0.018203
140,3,3,420,4143,295384,0.018461
141,3,3,423,4173,299557,0.018722
142,3,3,426,4203,303760,0.018985
143,3,3,429,4233,307993,0.019250
144,3,3,432,4263,312256,0.019516
145,3,3,435,4293,316549,0.019784
146,3,3,438,4323,320872,0.020054
147,3,3,441,4345,325217,0.020326
148,3,3,444,4364,329581,0.020599
149,3,3,447,4393,333974,0.020873
