#alpha;r;gamma;n;K
0.0000000000000000E+00;3.0000000000000000E+00;-3.7500000000000000E+00;4.0000000000000000E+00;3.7500000000000000E+00
5.0000000000000001E-03;2.9849999999999999E+00;-3.7225863243772417E+00;3.9849999999999999E+00;3.7789881955696427E+00
1.0000000000000000E-02;2.9699999999999998E+00;-3.6953966653377410E+00;3.9699999999999998E+00;3.8085133194383807E+00
1.4999999999999999E-02;2.9550000000000001E+00;-3.6684290950596838E+00;3.9550000000000001E+00;3.8385874385039775E+00
2.0000000000000000E-02;2.9399999999999999E+00;-3.6416817028437123E+00;3.9399999999999999E+00;3.8692229670924876E+00
2.5000000000000001E-02;2.9249999999999998E+00;-3.6151525949575305E+00;3.9249999999999998E+00;3.9004326788597572E+00
2.9999999999999999E-02;2.9100000000000001E+00;-3.5888398944818944E+00;3.9100000000000001E+00;3.9322297191676481E+00
3.5000000000000003E-02;2.8950000000000000E+00;-3.5627417411580438E+00;3.8950000000000000E+00;3.9646276179566184E+00
4.0000000000000001E-02;2.8799999999999999E+00;-3.5368562912365960E+00;3.8799999999999999E+00;3.9976403031374290E+00
4.4999999999999998E-02;2.8649999999999998E+00;-3.5111817173277244E+00;3.8649999999999998E+00;4.0312821145256281E+00
5.0000000000000003E-02;2.8499999999999996E+00;-3.4857162082527933E+00;3.8499999999999996E+00;4.0655678183441246E+00
5.5000000000000000E-02;2.8350000000000000E+00;-3.4604579688973893E+00;3.8350000000000000E+00;4.1005126223202062E+00
5.9999999999999998E-02;2.8199999999999998E+00;-3.4354052200655634E+00;3.8199999999999998E+00;4.1361321914045579E+00
6.5000000000000002E-02;2.8050000000000002E+00;-3.4105561983356329E+00;3.8050000000000002E+00;4.1724426641419541E+00
7.0000000000000007E-02;2.7900000000000000E+00;-3.3859091559171071E+00;3.7900000000000000E+00;4.2094606697239003E+00
7.4999999999999997E-02;2.7750000000000004E+00;-3.3614623605090390E+00;3.7750000000000004E+00;4.2472033457559961E+00
8.0000000000000002E-02;2.7600000000000002E+00;-3.3372140951596796E+00;3.7600000000000002E+00;4.2856883567740605E+00
8.5000000000000006E-02;2.7450000000000001E+00;-3.3131626581274123E+00;3.7450000000000001E+00;4.3249339135449407E+00
8.9999999999999997E-02;2.7300000000000000E+00;-3.2893063627429142E+00;3.7300000000000000E+00;4.3649587931899099E+00
9.5000000000000001E-02;2.7149999999999999E+00;-3.2656435372726640E+00;3.7149999999999999E+00;4.4057823601707575E+00
1.0000000000000001E-01;2.7000000000000002E+00;-3.2421725247837103E+00;3.7000000000000002E+00;4.4474245881806720E+00
1.0500000000000000E-01;2.6850000000000001E+00;-3.2188916830096002E+00;3.6850000000000001E+00;4.4899060829842492E+00
1.1000000000000000E-01;2.6699999999999999E+00;-3.1957993842176311E+00;3.6699999999999999E+00;4.5332481062537937E+00
1.1500000000000000E-01;2.6550000000000002E+00;-3.1728940150772198E+00;3.6550000000000002E+00;4.5774726004511903E+00
1.2000000000000000E-01;2.6400000000000001E+00;-3.1501739765296590E+00;3.6400000000000001E+00;4.6226022148080315E+00
1.2500000000000000E-01;2.6250000000000000E+00;-3.1276376836588984E+00;3.6250000000000000E+00;4.6686603324587637E+00
1.3000000000000000E-01;2.6099999999999999E+00;-3.1052835655635578E+00;3.6099999999999999E+00;4.7156710987855153E+00
1.3500000000000001E-01;2.5949999999999998E+00;-3.0831100652302035E+00;3.5949999999999998E+00;4.7636594510363599E+00
1.4000000000000001E-01;2.5800000000000001E+00;-3.0611156394076788E+00;3.5800000000000001E+00;4.8126511492819484E+00
1.4499999999999999E-01;2.5649999999999999E+00;-3.0392987584826536E+00;3.5649999999999999E+00;4.8626728087797160E+00
1.4999999999999999E-01;2.5499999999999998E+00;-3.0176579063563249E+00;3.5499999999999998E+00;4.9137519338185633E+00
1.5500000000000000E-01;2.5350000000000001E+00;-2.9961915803222015E+00;3.5350000000000001E+00;4.9659169531211225E+00
1.6000000000000000E-01;2.5200000000000000E+00;-2.9748982909450410E+00;3.5200000000000000E+00;5.0191972568854633E+00
1.6500000000000001E-01;2.5049999999999999E+00;-2.9537765619409471E+00;3.5049999999999999E+00;5.0736232355528275E+00
1.7000000000000001E-01;2.4899999999999998E+00;-2.9328249300584304E+00;3.4899999999999998E+00;5.1292263203927870E+00
1.7500000000000002E-01;2.4749999999999996E+00;-2.9120419449607549E+00;3.4749999999999996E+00;5.1860390260035150E+00
1.7999999999999999E-01;2.4600000000000000E+00;-2.8914261691092209E+00;3.4600000000000000E+00;5.2440949948296245E+00
1.8500000000000000E-01;2.4449999999999998E+00;-2.8709761776475200E+00;3.4449999999999998E+00;5.3034290438070304E+00
1.9000000000000000E-01;2.4300000000000002E+00;-2.8506905582872988E+00;3.4300000000000002E+00;5.3640772132509502E+00
1.9500000000000001E-01;2.4150000000000000E+00;-2.8305679111945827E+00;3.4150000000000000E+00;5.4260768181094603E+00
2.0000000000000001E-01;2.4000000000000004E+00;-2.8106068488773728E+00;3.4000000000000004E+00;5.4894665017136175E+00
2.0500000000000002E-01;2.3849999999999998E+00;-2.7908059960742184E+00;3.3849999999999998E+00;5.5542862921625717E+00
2.0999999999999999E-01;2.3700000000000001E+00;-2.7711639896438696E+00;3.3700000000000001E+00;5.6205776614910166E+00
2.1500000000000000E-01;2.3550000000000000E+00;-2.7516794784558329E+00;3.3550000000000000E+00;5.6883835877753368E+00
2.2000000000000000E-01;2.3399999999999999E+00;-2.7323511232820743E+00;3.3399999999999999E+00;5.7577486203452395E+00
2.2500000000000001E-01;2.3250000000000002E+00;-2.7131775966895879E+00;3.3250000000000002E+00;5.8287189482774533E+00
2.3000000000000001E-01;2.3100000000000001E+00;-2.6941575829340683E+00;3.3100000000000001E+00;5.9013424723603078E+00
2.3500000000000001E-01;2.2949999999999999E+00;-2.6752897778544122E+00;3.2949999999999999E+00;5.9756688807291587E+00
2.3999999999999999E-01;2.2800000000000002E+00;-2.6565728887683671E+00;3.2800000000000002E+00;6.0517497283868984E+00
2.4500000000000000E-01;2.2650000000000001E+00;-2.6380056343689566E+00;3.2650000000000001E+00;6.1296385208362398E+00
2.5000000000000000E-01;2.2500000000000000E+00;-2.6195867446220329E+00;3.2500000000000000E+00;6.2093908020670403E+00
2.5500000000000000E-01;2.2349999999999999E+00;-2.6013149606645984E+00;3.2349999999999999E+00;6.2910642471564078E+00
2.6000000000000001E-01;2.2199999999999998E+00;-2.5831890347041839E+00;3.2199999999999998E+00;6.3747187597580206E+00
