# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_2d_instant,2,2500,2416,16,1.7677574990,3.6930667054E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2379,16,1.7343397301,3.5423679331E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2390,16,1.5437841303,4.4119330424E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2407,16,1.6237472008,4.1054906453E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2445,16,1.6425678071,4.2885268332E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2391,16,1.4904412820,4.4964400578E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2431,16,1.6148751020,4.1080504502E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2388,16,1.4950402949,4.7702841234E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2408,16,1.7026919645,4.1353644400E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2384,15,1.7496011536,3.4822206938E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2387,16,1.7249209030,3.7320257157E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2390,16,1.6662094740,4.1230280289E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2394,16,1.7389345309,3.5356371018E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2415,16,1.5132580754,4.5478582404E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2422,16,1.5259649599,4.8135955880E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2417,16,1.7050484142,3.8611485195E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2384,16,1.7098888993,3.7666067444E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2375,16,1.5182748070,4.2783293168E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2380,16,1.6032915932,4.0202150999E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2401,16,1.6649106618,4.1743069664E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2377,16,1.6556157722,4.1522229164E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2376,16,1.8195385019,3.2840727952E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2395,16,1.6612021605,4.3083667303E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2394,16,1.7999699326,3.4883753369E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2390,16,1.6646436519,3.9281418522E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2424,16,1.6968098965,4.0336072966E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2390,16,1.7551798409,3.7186749129E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2413,16,1.6693820568,3.6417940285E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2415,16,1.8467628953,3.2426928114E-02,2.0000000000,2.0106192983E-02
avrami_2d_instant,2,2500,2377,16,1.6952119658,3.9433838902E-02,2.0000000000,2.0106192983E-02
