# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_3d_sporadic,3,125000,119100,91,3.3787405851,3.5414083980E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119993,82,3.4011442394,3.3743594177E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,121058,93,3.3140830602,3.4937328843E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120167,92,3.3469226325,3.8118547106E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120156,91,3.3285818588,3.4486277843E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119823,89,3.4465646890,2.7556317820E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120218,84,3.3606494893,3.4921549270E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119542,88,3.3133362270,3.9446855345E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120818,87,3.4770209787,2.5435946387E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,121037,87,3.3814669938,3.6519055005E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,118929,83,3.1915251665,4.4971282105E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119067,84,3.2035541347,5.0057113732E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119154,96,3.4292156140,3.0421245961E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119159,85,3.4726160445,2.8935339046E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120892,88,3.4691815669,2.9752414546E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120552,97,3.2484814459,4.2327209674E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119583,90,3.2585275360,4.2739433421E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119452,91,3.3424021982,3.6677151309E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119217,89,3.4426803398,3.2153024619E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,118896,84,3.3862723298,3.2746566537E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119758,91,3.3080057618,3.8773011407E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119490,89,3.3501906518,3.5934352845E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120986,93,3.4103626422,2.9495853895E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119009,88,3.4762026758,2.9656681525E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,121485,92,3.6616661246,1.9416449538E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119569,86,3.2968585471,4.0665025146E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120562,92,3.1829947078,4.7570314403E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120428,79,3.3928253604,3.5502815186E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,120403,92,3.3316458770,3.8915575973E-04,4.0000000000,6.7020643277E-05
avrami_3d_sporadic,3,125000,119084,94,3.3298449796,3.5105115145E-04,4.0000000000,6.7020643277E-05
