#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,64,64,64,64,64,0.000512
1,0,0,64,1117,1181,0.009448
2,0,0,64,3694,4875,0.039000
3,0,0,64,5463,10338,0.082704
4,0,0,64,10655,20993,0.167944
5,0,0,64,15181,36174,0.289392
6,0,0,64,15525,51699,0.413592
7,0,0,64,15333,67032,0.536256
8,0,0,64,13735,80767,0.646136
9,0,0,64,13475,94242,0.753936
10,0,0,64,8799,103041,0.824328
11,0,0,64,6049,109090,0.872720
12,0,0,64,4674,113764,0.910112
13,0,0,64,3611,117375,0.939000
