#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,8,8,8,8,8,0.000064
1,8,8,16,152,160,0.001280
2,8,8,24,620,780,0.006240
3,8,8,32,1312,2092,0.016736
4,8,7,39,2741,4833,0.038664
5,8,8,47,4887,9720,0.077760
6,8,8,55,7321,17041,0.136328
7,8,8,63,9954,26995,0.215960
8,8,7,70,12235,39230,0.313840
9,8,5,75,14572,53802,0.430416
10,8,5,80,15466,69268,0.554144
11,8,2,82,14710,83978,0.671824
12,8,1,83,12991,96969,0.775752
13,8,3,86,10111,107080,0.856640
14,8,2,88,7563,114643,0.917144
