# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_2d_instant,2,16000000,15200215,50,2.0972878735,1.7712818011E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15222243,50,1.8741532434,3.5932599608E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15226364,50,2.0206323473,2.0335460510E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15228589,50,2.0008527194,2.3549316629E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15237830,50,1.8996122883,3.1919194920E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15228820,50,1.9357910465,2.9852776874E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15242087,50,1.8916537119,3.4445908611E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15222625,50,2.0531110446,2.0279097639E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15224571,50,1.9704695664,2.6831802842E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15214631,50,1.9931112890,2.5061105936E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15215114,50,1.9859867766,2.5563345114E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15213337,50,1.9341382158,3.0349530546E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15224807,50,1.9258976189,3.0655696183E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15201303,50,2.0503200835,1.9910642933E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15234563,50,1.9425864637,2.9483505221E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15200040,50,1.9150913033,3.2390477302E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15212259,50,1.9595247754,2.9484077229E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15224254,50,1.9429841588,2.8973969544E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15216349,50,1.8607754124,4.0597308443E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15206163,50,2.0679712456,1.9282009718E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15237735,50,1.9451951886,2.9879160554E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15238889,50,2.0114281882,2.3960597928E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15225342,50,1.8631097512,3.8194232904E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15225820,50,1.9008692640,3.2224207344E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15205375,50,1.9204496842,3.2523699901E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15204498,50,1.8998645647,3.3340526309E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15209223,50,1.8701018449,3.5227470253E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15235007,50,2.0340868203,2.1910833519E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,14428731,50,1.8097074355,4.6603253970E-04,2.0000000000,2.4543692606E-04
avrami_2d_instant,2,16000000,15213927,50,2.0627513358,2.0167643926E-04,2.0000000000,2.4543692606E-04
