# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_3d_instant_parabolic,3,15625000,15032508,50,5.3674787792,1.1415647831E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14967600,50,5.3799017768,1.1610595191E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15069536,50,5.3920011760,1.1387807404E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15004998,50,5.3536227353,1.1759384732E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14892602,50,5.2722264020,1.4726790148E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15090938,50,5.2236693916,1.6790147983E-07,3.0000000000,2.8952917895E-03
avrami_3d_instant_parabolic,3,15625000,15122742,50,5.4362782248,1.0193980131E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15204879,50,5.4553389718,9.3872112181E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15041338,50,5.5057733270,8.5170858307E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14882810,50,5.3458543281,1.2612763570E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15026689,50,5.3334273326,1.2556524561E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15056876,50,5.2968431750,1.4232974777E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15093819,50,5.5390565872,8.0267071310E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15038682,50,5.3884923616,1.1125065761E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14882537,50,5.4498271063,9.8323431538E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15022410,50,5.5910973144,7.3506464249E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14858154,50,5.4697547776,9.2247779786E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15100483,50,5.3958948719,1.1263988386E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15089013,50,5.5596132907,7.5558217854E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14997938,50,5.3327957761,1.2288248757E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14965678,50,5.4708872371,9.4481448403E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15098725,50,5.4239915886,1.0085277393E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14969396,50,5.2554205583,1.4647088119E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15188481,50,5.5328946524,8.0192992524E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15152936,50,5.5607762805,7.4770056168E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15029340,50,5.5038963694,8.6044400202E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15001783,50,5.3041399873,1.3725032834E-07,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15105114,50,5.5452289594,7.5014222843E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,15077778,50,5.4826735742,8.7881488899E-08,3.0000000000,1.6755160819E-03
avrami_3d_instant_parabolic,3,15625000,14862980,50,5.5054969736,8.4213251758E-08,3.0000000000,1.6755160819E-03
