# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_6d_sporadic,6,16777216,16203249,34,5.2511828661,4.3137014712E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16302408,36,5.4996834051,1.9517810144E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16350569,31,5.0002861080,8.4201252462E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16300350,32,5.1107319869,5.3082861946E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16393495,35,5.3842182959,2.2301965946E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16051491,34,5.1931425994,4.8140771609E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16410144,33,5.1858407101,5.1354829743E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16167437,37,5.2671382652,4.1043569883E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16447071,32,5.1671992773,5.2057087101E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16246733,32,4.9278752206,1.0215205959E-05,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16461585,36,5.2375616295,4.2455052057E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16441227,34,5.1577901837,5.5947480363E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16378162,35,5.6157265642,1.8959395155E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16282634,36,5.2032046616,5.1814036893E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16354004,34,5.3119546018,4.0268031662E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16277750,34,5.2265604955,4.6861231399E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16360449,33,4.9738178092,7.1290735530E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16360203,39,5.0849029590,6.1003444300E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16205527,36,5.6291635375,1.7231491070E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16353665,36,5.1591470029,5.4964114990E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16337963,31,5.0167302148,7.5805820731E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16379179,38,5.4648273142,2.5971943522E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16437039,35,5.0998026888,6.9888320512E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16319286,29,5.4625909549,2.6402689475E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16280327,35,5.3780411527,3.6427225608E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16390584,31,5.4484149736,2.5897542859E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16448734,36,5.2147164597,5.2434504236E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16274169,32,4.9603552585,8.5649892308E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16417602,37,5.1010748077,6.8798432358E-06,7.0000000000,1.3200843624E-07
avrami_6d_sporadic,6,16777216,16035082,34,5.1692497810,4.7591498730E-06,7.0000000000,1.3200843624E-07
