# basename, dimensions, volume_space, volume_fill, clusters, fit_n, fit_k, theo_n, theo_k
avrami_6d_sporadic_parabolic,6,16777216,16686496,11,3.3076594883,1.2808681271E-01,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16760521,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16684372,9,3.7314918252,9.1031446653E-02,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16643588,10,3.6102135469,9.1835722727E-02,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16775164,8,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16762401,11,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16771399,7,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16299205,11,3.3534312315,9.3281538888E-02,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16551421,10,3.4679860147,1.0842743608E-01,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16518147,7,3.1858524659,1.3213579549E-01,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16762386,8,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16774361,10,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16751266,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16768688,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16590213,9,3.4244614603,1.2301658180E-01,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16760574,10,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16749921,11,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16703117,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16568598,8,3.6371496866,8.9545129686E-02,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16743580,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16728273,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,15986335,9,0.0000000000,1.0000000000E+00,7.0000000000,6.1589856011E-03
avrami_6d_sporadic_parabolic,6,16777216,16721958,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16704231,11,3.6196342920,1.0954481319E-01,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16698959,9,3.8025737839,7.8847339078E-02,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16749462,10,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16723142,9,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16738771,8,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16710566,10,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
avrami_6d_sporadic_parabolic,6,16777216,16740386,10,0.0000000000,1.0000000000E+00,7.0000000000,2.0626318162E-03
