#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,0,50,0.000003
2,0,0,50,0,50,0.000003
3,0,0,50,400,450,0.000028
4,0,0,50,600,1050,0.000066
5,0,0,50,800,1850,0.000116
6,0,0,50,1600,3450,0.000216
7,0,0,50,3400,6850,0.000428
8,0,0,50,4400,11250,0.000703
9,0,0,50,6182,17432,0.001089
10,0,0,50,6968,24400,0.001525
11,0,0,50,12918,37318,0.002332
12,0,0,50,16630,53948,0.003372
13,0,0,50,18374,72322,0.004520
14,0,0,50,21109,93431,0.005839
15,0,0,50,24185,117616,0.007351
16,0,0,50,36688,154304,0.009644
17,0,0,50,41330,195634,0.012227
18,0,0,50,45720,241354,0.015085
19,0,0,50,51116,292470,0.018279
20,0,0,50,54850,347320,0.021708
21,0,0,50,60318,407638,0.025477
22,0,0,50,80945,488583,0.030536
23,0,0,50,88387,576970,0.036061
24,0,0,50,96250,673220,0.042076
25,0,0,50,101010,774230,0.048389
26,0,0,50,109027,883257,0.055204
27,0,0,50,115330,998587,0.062412
28,0,0,50,145796,1144383,0.071524
29,0,0,50,154638,1299021,0.081189
30,0,0,50,162668,1461689,0.091356
31,0,0,50,170175,1631864,0.101991
32,0,0,50,177406,1809270,0.113079
33,0,0,50,184557,1993827,0.124614
34,0,0,50,222312,2216139,0.138509
35,0,0,50,227949,2444088,0.152755
36,0,0,50,236980,2681068,0.167567
37,0,0,50,245812,2926880,0.182930
38,0,0,50,250730,3177610,0.198601
39,0,0,50,259990,3437600,0.214850
40,0,0,50,265276,3702876,0.231430
41,0,0,50,308423,4011299,0.250706
42,0,0,50,315132,4326431,0.270402
43,0,0,50,316675,4643106,0.290194
44,0,0,50,319590,4962696,0.310169
45,0,0,50,320922,5283618,0.330226
46,0,0,50,322237,5605855,0.350366
47,0,0,50,318905,5924760,0.370298
48,0,0,50,351169,6275929,0.392246
49,0,0,50,345432,6621361,0.413835
50,0,0,50,343726,6965087,0.435318
51,0,0,50,342699,7307786,0.456737
52,0,0,50,337239,7645025,0.477814
53,0,0,50,330058,7975083,0.498443
54,0,0,50,328432,8303515,0.518970
55,0,0,50,363616,8667131,0.541696
56,0,0,50,360292,9027423,0.564214
57,0,0,50,355832,9383255,0.586453
58,0,0,50,354841,9738096,0.608631
59,0,0,50,349738,10087834,0.630490
60,0,0,50,342432,10430266,0.651892
61,0,0,50,335323,10765589,0.672849
62,0,0,50,358706,11124295,0.695268
63,0,0,50,344311,11468606,0.716788
64,0,0,50,333635,11802241,0.737640
65,0,0,50,316902,12119143,0.757446
66,0,0,50,298708,12417851,0.776116
67,0,0,50,275546,12693397,0.793337
68,0,0,50,257715,12951112,0.809445
69,0,0,50,245887,13196999,0.824812
70,0,0,50,256748,13453747,0.840859
71,0,0,50,240005,13693752,0.855859
72,0,0,50,221400,13915152,0.869697
73,0,0,50,196359,14111511,0.881969
74,0,0,50,168997,14280508,0.892532
75,0,0,50,144466,14424974,0.901561
76,0,0,50,123144,14548118,0.909257
77,0,0,50,103994,14652112,0.915757
78,0,0,50,101809,14753921,0.922120
79,0,0,50,91228,14845149,0.927822
80,0,0,50,79947,14925096,0.932818
81,0,0,50,72303,14997399,0.937337
82,0,0,50,66621,15064020,0.941501
83,0,0,50,62778,15126798,0.945425
84,0,0,50,59267,15186065,0.949129
