#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,8799,8802,0.000550
2,3,3,9,23427,32229,0.002014
3,3,3,12,40515,72744,0.004547
4,3,3,15,59097,131841,0.008240
5,3,3,18,78510,210351,0.013147
6,3,3,21,98368,308719,0.019295
7,3,3,24,118640,427359,0.026710
8,3,3,27,137599,564958,0.035310
9,3,3,30,153771,718729,0.044921
10,3,2,32,178878,897607,0.056100
11,3,3,35,185846,1083453,0.067716
12,3,3,38,206744,1290197,0.080637
13,3,3,41,228346,1518543,0.094909
14,3,2,43,229403,1747946,0.109247
15,3,3,46,247558,1995504,0.124719
16,3,2,48,263467,2258971,0.141186
17,3,3,51,278652,2537623,0.158601
18,3,2,53,271053,2808676,0.175542
19,3,2,55,287448,3096124,0.193508
20,3,3,58,303523,3399647,0.212478
21,3,3,61,320291,3719938,0.232496
22,3,1,62,336985,4056923,0.253558
23,3,2,64,352728,4409651,0.275603
24,3,3,67,326399,4736050,0.296003
25,3,2,69,334560,5070610,0.316913
26,3,2,71,340996,5411606,0.338225
27,3,2,73,347854,5759460,0.359966
28,3,1,74,355148,6114608,0.382163
29,3,3,77,362421,6477029,0.404814
30,3,2,79,367091,6844120,0.427758
31,3,2,81,372849,7216969,0.451061
32,3,0,81,334193,7551162,0.471948
33,3,2,83,336004,7887166,0.492948
34,3,2,85,333216,8220382,0.513774
35,3,2,87,331066,8551448,0.534466
36,3,1,88,327930,8879378,0.554961
37,3,2,90,325976,9205354,0.575335
38,3,1,91,325996,9531350,0.595709
39,3,2,93,323861,9855211,0.615951
40,3,0,93,321590,10176801,0.636050
41,3,2,95,323498,10500299,0.656269
42,3,1,96,326362,10826661,0.676666
43,3,1,97,330119,11156780,0.697299
44,3,2,99,289268,11446048,0.715378
45,3,1,100,286101,11732149,0.733259
46,3,2,102,279995,12012144,0.750759
47,3,0,102,271426,12283570,0.767723
48,3,2,104,262540,12546110,0.784132
49,3,0,104,252871,12798981,0.799936
50,3,1,105,245707,13044688,0.815293
51,3,0,105,235604,13280292,0.830018
52,3,1,106,223363,13503655,0.843978
53,3,0,106,207550,13711205,0.856950
54,3,1,107,193745,13904950,0.869059
55,3,2,109,181549,14086499,0.880406
56,3,0,109,169710,14256209,0.891013
57,3,1,110,157275,14413484,0.900843
58,3,0,110,146398,14559882,0.909993
59,3,0,110,138210,14698092,0.918631
60,3,0,110,129399,14827491,0.926718
61,3,0,110,120141,14947632,0.934227
62,3,1,111,109251,15056883,0.941055
63,3,0,111,99273,15156156,0.947260
