#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,50,50,50,50,50,0.000003
1,0,0,50,36015,36065,0.002308
2,0,0,50,197491,233556,0.014948
3,0,0,50,467460,701016,0.044865
4,0,0,50,844005,1545021,0.098881
5,0,0,50,1234344,2779365,0.177879
6,0,0,50,1583997,4363362,0.279255
7,0,0,50,1825113,6188475,0.396062
8,0,0,50,1908135,8096610,0.518183
9,0,0,50,1794380,9890990,0.633023
10,0,0,50,1531102,11422092,0.731014
11,0,0,50,1207432,12629524,0.808290
12,0,0,50,925622,13555146,0.867529
13,0,0,50,670363,14225509,0.910433
14,0,0,50,498463,14723972,0.942334
