#time,new_clusters_asked,new_clusters_created,clusters_total,volume_grow,volume_total,volume_totale_perc
0,3,3,3,3,3,0.000000
1,3,3,6,197,200,0.000012
2,3,3,9,3150,3350,0.000200
3,3,3,12,21004,24354,0.001452
4,3,3,15,81669,106023,0.006319
5,3,3,18,220928,326951,0.019488
6,3,3,21,493534,820485,0.048905
7,3,3,24,961775,1782260,0.106231
8,3,2,26,1620529,3402789,0.202822
9,3,3,29,2379390,5782179,0.344645
10,3,3,32,2998738,8780917,0.523383
11,3,2,34,3035185,11816102,0.704295
12,3,1,35,2406143,14222245,0.847712
13,3,1,36,1511286,15733531,0.937792
